Seed,ElapsedTime(ms),Path Length,Min,4
343,20,513,,
344,41,513,,
345,45,513,,
346,36,513,,
347,47,513,,
348,30,513,,
349,14,513,,
350,18,513,,
351,9,513,,
352,7,513,,
353,40,513,,
354,29,513,,
355,25,513,,
356,17,513,,
357,33,513,,
358,14,513,,
359,48,513,,
360,40,513,,
361,52,513,,
362,31,513,,
363,32,513,,
364,26,513,,
365,51,513,,
366,20,513,,
367,31,513,,
368,31,513,,
369,26,513,,
370,20,513,,
371,23,513,,
372,13,513,,
373,31,513,,
374,24,513,,
375,23,513,,
376,36,513,,
377,33,513,,
378,20,513,,
379,57,513,,
380,13,513,,
381,39,513,,
382,19,513,,
383,30,513,,
384,20,513,,
385,33,513,,
386,52,513,,
387,30,513,,
388,62,513,,
389,20,513,,
390,40,513,,
391,44,513,,
392,32,513,,
393,34,513,,
394,6,513,,
395,17,513,,
396,36,513,,
397,33,513,,
398,29,513,,
399,49,513,,
400,30,513,,
401,41,513,,
402,27,513,,
403,26,513,,
404,30,513,,
405,16,513,,
406,35,513,,
407,31,513,,
408,43,513,,
409,32,513,,
410,27,513,,
411,18,513,,
412,36,513,,
413,26,513,,
414,59,513,,
415,28,513,,
416,30,513,,
417,19,513,,
418,19,513,,
419,32,513,,
420,12,513,,
421,14,513,,
422,39,513,,
423,23,513,,
424,29,513,,
425,25,513,,
426,57,513,,
427,24,513,,
428,26,513,,
429,31,513,,
430,36,513,,
431,31,513,,
432,55,513,,
433,24,513,,
434,28,513,,
435,20,513,,
436,16,513,,
437,22,513,,
438,19,513,,
439,27,513,,
440,20,513,,
441,26,513,,
442,23,513,,
443,26,513,,
444,20,513,,
445,30,513,,
446,36,513,,
447,18,513,,
448,23,513,,
449,32,513,,
450,15,513,,
451,12,513,,
452,24,513,,
453,54,513,,
454,25,513,,
455,52,513,,
456,23,513,,
457,62,513,,
458,19,513,,
459,10,513,,
460,26,513,,
461,22,513,,
462,42,513,,
463,35,513,,
464,35,513,,
465,21,513,,
466,21,513,,
467,48,513,,
468,22,513,,
469,25,513,,
470,17,513,,
471,35,513,,
472,30,513,,
473,31,513,,
474,42,513,,
475,20,513,,
476,40,513,,
477,19,513,,
478,13,513,,
479,24,513,,
480,27,513,,
481,28,513,,
482,29,513,,
483,40,513,,
484,33,513,,
485,52,513,,
486,35,513,,
487,26,513,,
488,39,513,,
489,28,513,,
490,28,513,,
491,20,513,,
492,62,513,,
493,56,513,,
494,27,513,,
495,30,513,,
496,29,513,,
497,30,513,,
498,30,513,,
499,21,513,,
500,14,513,,
501,27,513,,
502,26,513,,
503,23,513,,
504,19,513,,
505,31,513,,
506,34,513,,
507,8,513,,
508,37,513,,
509,15,513,,
510,22,513,,
511,45,513,,
512,35,513,,
513,28,513,,
514,23,513,,
515,21,513,,
516,17,513,,
517,47,513,,
518,8,513,,
519,26,513,,
520,14,513,,
521,13,513,,
522,45,513,,
523,27,513,,
524,42,513,,
525,11,513,,
526,14,513,,
527,30,513,,
528,12,513,,
529,23,513,,
530,12,513,,
531,41,513,,
532,28,513,,
533,19,513,,
534,39,513,,
535,37,513,,
536,29,513,,
537,24,513,,
538,26,513,,
539,29,513,,
540,17,513,,
541,34,513,,
542,43,513,,
543,48,513,,
544,22,513,,
545,17,513,,
546,38,513,,
547,27,513,,
548,17,513,,
549,17,513,,
550,25,513,,
551,33,513,,
552,28,513,,
553,22,513,,
554,23,513,,
555,46,513,,
556,24,513,,
557,40,513,,
558,18,513,,
559,35,513,,
560,49,513,,
561,47,513,,
562,42,513,,
563,25,513,,
564,28,513,,
565,37,513,,
566,28,513,,
567,18,513,,
568,33,513,,
569,34,513,,
570,15,513,,
571,31,513,,
572,9,513,,
573,20,513,,
574,9,513,,
575,14,513,,
576,33,513,,
577,30,513,,
578,36,513,,
579,25,513,,
580,42,513,,
581,27,513,,
582,36,513,,
583,41,513,,
584,49,513,,
585,39,513,,
586,32,513,,
587,28,513,,
588,19,513,,
589,29,513,,
590,24,513,,
591,64,513,,
592,29,513,,
593,20,513,,
594,40,513,,
595,14,513,,
596,39,513,,
597,22,513,,
598,22,513,,
599,29,513,,
600,31,513,,
601,21,513,,
602,42,513,,
603,20,513,,
604,37,513,,
605,32,513,,
606,28,513,,
607,15,513,,
608,43,513,,
609,12,513,,
610,49,513,,
611,30,513,,
612,39,513,,
613,19,513,,
614,21,513,,
615,14,513,,
616,22,513,,
617,23,513,,
618,9,513,,
619,26,513,,
620,30,513,,
621,5,513,,
622,32,513,,
623,33,513,,
624,27,513,,
625,31,513,,
626,38,513,,
627,15,513,,
628,29,513,,
629,20,513,,
630,44,513,,
631,18,513,,
632,20,513,,
633,44,513,,
634,20,513,,
