Seed,ElapsedTime(ms),Path Length,Min,1
393,24,513,,
394,22,513,,
395,14,513,,
396,23,513,,
397,24,513,,
398,17,513,,
399,4,513,,
400,9,513,,
401,21,513,,
402,28,513,,
403,32,513,,
404,4,513,,
405,35,513,,
406,8,513,,
407,32,513,,
408,23,513,,
409,18,513,,
410,33,513,,
411,10,513,,
412,7,513,,
413,29,513,,
414,21,513,,
415,4,513,,
416,26,513,,
417,22,513,,
418,19,513,,
419,16,513,,
420,17,513,,
421,28,513,,
422,4,513,,
423,8,513,,
424,34,513,,
425,14,513,,
426,35,513,,
427,26,513,,
428,3,513,,
429,34,513,,
430,31,513,,
431,30,513,,
432,15,513,,
433,41,513,,
434,15,513,,
435,14,513,,
436,1,513,,
437,7,513,,
438,27,513,,
439,16,513,,
440,7,513,,
441,20,513,,
442,14,513,,
443,16,513,,
444,20,513,,
445,35,513,,
446,6,513,,
447,13,513,,
448,13,513,,
449,30,513,,
450,7,513,,
451,10,513,,
452,45,513,,
453,28,513,,
454,19,513,,
455,18,513,,
456,43,513,,
457,7,513,,
458,30,513,,
459,41,513,,
460,4,513,,
461,13,513,,
462,15,513,,
463,10,513,,
464,27,513,,
465,22,513,,
466,8,513,,
467,44,513,,
468,4,513,,
469,17,513,,
470,1,513,,
471,20,513,,
472,5,513,,
473,6,513,,
474,30,513,,
475,29,513,,
476,29,513,,
477,12,513,,
478,12,513,,
479,12,513,,
480,4,513,,
481,15,513,,
482,7,513,,
483,22,513,,
484,32,513,,
485,29,513,,
486,6,513,,
487,7,513,,
488,3,513,,
489,11,513,,
490,12,513,,
491,12,513,,
492,3,513,,
493,10,513,,
494,2,513,,
495,11,513,,
496,3,513,,
497,26,513,,
498,5,513,,
499,21,513,,
500,3,513,,
501,29,513,,
502,4,513,,
503,10,513,,
504,28,513,,
505,31,513,,
506,10,513,,
507,3,513,,
508,27,513,,
509,8,513,,
510,5,513,,
511,1,513,,
512,10,513,,
513,9,513,,
514,20,513,,
515,10,513,,
516,5,513,,
517,7,513,,
518,18,513,,
519,25,513,,
520,16,513,,
521,28,513,,
522,55,513,,
523,30,513,,
524,64,513,,
525,21,513,,
526,2,513,,
527,28,513,,
528,19,513,,
529,35,513,,
530,9,513,,
531,18,513,,
532,17,513,,
533,16,513,,
534,9,513,,
535,13,513,,
536,19,513,,
537,3,513,,
538,34,513,,
539,14,513,,
540,4,513,,
541,24,513,,
542,6,513,,
543,8,513,,
544,20,513,,
545,48,513,,
546,20,513,,
547,18,513,,
548,4,513,,
549,6,513,,
550,15,513,,
551,9,513,,
552,12,513,,
553,4,513,,
554,35,513,,
555,15,513,,
556,23,513,,
557,22,513,,
558,26,513,,
559,8,513,,
560,18,513,,
561,9,513,,
562,9,513,,
563,15,513,,
564,15,513,,
565,37,513,,
566,3,513,,
567,44,513,,
568,24,513,,
569,30,513,,
570,26,513,,
571,9,513,,
572,28,513,,
573,10,513,,
574,27,513,,
575,7,513,,
576,26,513,,
577,21,513,,
578,4,513,,
579,3,513,,
580,19,513,,
581,3,513,,
582,18,513,,
583,28,513,,
584,45,513,,
585,11,513,,
586,27,513,,
587,5,513,,
588,27,513,,
589,12,513,,
590,7,513,,
591,34,513,,
592,13,513,,
593,5,513,,
594,15,513,,
595,10,513,,
596,34,513,,
597,8,513,,
598,12,513,,
599,17,513,,
600,7,513,,
601,4,513,,
602,29,513,,
603,9,513,,
604,21,513,,
605,13,513,,
606,33,513,,
607,23,513,,
608,38,513,,
609,26,513,,
610,6,513,,
611,19,513,,
612,31,513,,
613,28,513,,
614,33,513,,
615,27,513,,
616,21,513,,
617,17,513,,
618,19,513,,
619,6,513,,
620,30,513,,
621,4,513,,
622,8,513,,
623,3,513,,
624,6,513,,
625,11,513,,
626,32,513,,
627,6,513,,
628,19,513,,
629,7,513,,
630,15,513,,
631,37,513,,
632,5,513,,
633,27,513,,
634,39,513,,
635,20,513,,
636,12,513,,
637,8,513,,
638,17,513,,
639,10,513,,
640,22,513,,
641,12,513,,
642,36,513,,
643,26,513,,
644,9,513,,
645,52,513,,
646,15,513,,
647,18,513,,
648,25,513,,
649,16,513,,
650,12,513,,
651,35,513,,
652,13,513,,
653,36,513,,
654,15,513,,
655,37,513,,
656,36,513,,
657,26,513,,
658,12,513,,
659,24,513,,
660,30,513,,
661,3,513,,
662,17,513,,
663,24,513,,
664,9,513,,
665,3,513,,
666,3,513,,
667,33,513,,
668,21,513,,
669,5,513,,
670,53,513,,
671,14,513,,
672,38,513,,
673,48,513,,
674,26,513,,
675,9,513,,
676,5,513,,
677,48,513,,
678,23,513,,
679,29,513,,
680,29,513,,
681,23,513,,
682,29,513,,
683,22,513,,
684,22,513,,
685,25,513,,
686,19,513,,
687,19,513,,
688,10,513,,
689,15,513,,
690,32,513,,
691,34,513,,
692,6,513,,
693,43,513,,
694,20,513,,
695,23,513,,
696,27,513,,
697,37,513,,
698,4,513,,
699,59,513,,
700,41,513,,
701,5,513,,
702,36,513,,
703,1,513,,
704,24,513,,
705,17,513,,
706,1,513,,
707,38,513,,
708,5,513,,
709,7,513,,
710,14,513,,
711,4,513,,
712,48,513,,
713,8,513,,
714,29,513,,
715,17,513,,
716,18,513,,
717,2,513,,
718,14,513,,
719,48,513,,
720,41,513,,
721,8,513,,
722,2,513,,
723,22,513,,
724,35,513,,
725,17,513,,
726,35,513,,
727,12,513,,
728,41,513,,
729,25,513,,
730,29,513,,
731,30,513,,
732,9,513,,
733,3,513,,
734,25,513,,
735,9,513,,
736,2,513,,
737,24,513,,
738,19,513,,
739,10,513,,
740,51,513,,
741,4,513,,
742,65,513,,
743,20,513,,
744,28,513,,
745,47,513,,
746,17,513,,
747,29,513,,
748,12,513,,
749,9,513,,
750,10,513,,
751,18,513,,
752,18,513,,
753,12,513,,
754,5,513,,
755,56,513,,
756,16,513,,
757,24,513,,
758,44,513,,
759,1,513,,
760,16,513,,
761,26,513,,
762,4,513,,
763,42,513,,
764,26,513,,
765,22,513,,
766,14,513,,
767,21,513,,
768,8,513,,
769,11,513,,
770,27,513,,
771,33,513,,
772,28,513,,
773,1,513,,
774,7,513,,
775,28,513,,
776,14,513,,
777,37,513,,
778,34,513,,
779,9,513,,
780,14,513,,
781,16,513,,
782,17,513,,
783,31,513,,
784,7,513,,
785,17,513,,
786,21,513,,
787,34,513,,
788,14,513,,
789,1,513,,
790,2,513,,
791,8,513,,
792,25,513,,
793,37,513,,
794,3,513,,
795,24,513,,
796,8,513,,
797,17,513,,
798,11,513,,
799,7,513,,
800,4,513,,
801,3,513,,
802,20,513,,
803,15,513,,
804,44,513,,
805,34,513,,
806,11,513,,
807,54,513,,
808,17,513,,
809,24,513,,
810,17,513,,
811,5,513,,
812,45,513,,
813,34,513,,
814,50,513,,
815,48,513,,
816,17,513,,
817,2,513,,
818,7,513,,
819,8,513,,
820,14,513,,
821,17,513,,
822,16,513,,
823,17,513,,
824,9,513,,
825,24,513,,
826,41,513,,
827,40,513,,
828,21,513,,
829,30,513,,
830,53,513,,
831,10,513,,
832,27,513,,
833,13,513,,
834,28,513,,
835,24,513,,
836,42,513,,
837,33,513,,
838,44,513,,
839,32,513,,
840,28,513,,
841,43,513,,
842,7,513,,
843,7,513,,
844,47,513,,
845,36,513,,
846,21,513,,
847,9,513,,
848,6,513,,
849,8,513,,
850,27,513,,
851,2,513,,
852,42,513,,
853,34,513,,
854,28,513,,
855,21,513,,
856,4,513,,
857,19,513,,
858,19,513,,
859,19,513,,
860,43,513,,
861,17,513,,
862,36,513,,
863,17,513,,
864,4,513,,
865,10,513,,
866,40,513,,
867,45,513,,
868,34,513,,
869,32,513,,
870,38,513,,
871,4,513,,
872,18,513,,
873,25,513,,
874,20,513,,
875,8,513,,
876,43,513,,
877,31,513,,
878,5,513,,
879,35,513,,
880,2,513,,
881,12,513,,
882,19,513,,
883,32,513,,
884,6,513,,
885,20,513,,
886,11,513,,
887,22,513,,
888,12,513,,
889,22,513,,
890,30,513,,
891,13,513,,
892,20,513,,
893,31,513,,
894,6,513,,
895,8,513,,
896,2,513,,
897,27,513,,
898,34,513,,
899,5,513,,
900,50,513,,
901,19,513,,
902,34,513,,
903,12,513,,
904,5,513,,
905,25,513,,
906,12,513,,
907,32,513,,
908,28,513,,
909,18,513,,
910,21,513,,
911,6,513,,
912,3,513,,
913,36,513,,
914,14,513,,
915,11,513,,
916,9,513,,
917,20,513,,
918,28,513,,
919,28,513,,
920,33,513,,
921,37,513,,
922,2,513,,
923,10,513,,
924,8,513,,
925,37,513,,
926,60,513,,
927,38,513,,
928,8,513,,
929,37,513,,
930,13,513,,
931,21,513,,
932,15,513,,
933,38,513,,
934,12,513,,
935,26,513,,
936,26,513,,
937,45,513,,
938,24,513,,
939,2,513,,
940,24,513,,
941,24,513,,
942,31,513,,
943,21,513,,
944,17,513,,
945,10,513,,
946,8,513,,
947,21,513,,
948,14,513,,
949,25,513,,
950,41,513,,
951,2,513,,
952,29,513,,
953,20,513,,
954,4,513,,
955,35,513,,
956,32,513,,
957,30,513,,
958,22,513,,
959,8,513,,
960,14,513,,
961,8,513,,
962,16,513,,
963,43,513,,
964,10,513,,
965,10,513,,
966,51,513,,
967,27,513,,
968,6,513,,
969,39,513,,
970,42,513,,
971,6,513,,
972,49,513,,
973,46,513,,
974,18,513,,
975,33,513,,
976,15,513,,
977,51,513,,
978,21,513,,
979,11,513,,
980,15,513,,
981,20,513,,
982,18,513,,
983,10,513,,
984,26,513,,
985,14,513,,
986,13,513,,
987,19,513,,
988,9,513,,
989,7,513,,
990,32,513,,
991,36,513,,
992,3,513,,
993,11,513,,
994,7,513,,
995,20,513,,
996,22,513,,
997,6,513,,
998,16,513,,
999,14,513,,
