Seed,ElapsedTime(ms),Path Length,Min,5
343,23,513,,
344,15,513,,
345,20,513,,
346,17,513,,
347,22,513,,
348,20,513,,
349,20,513,,
350,19,513,,
351,24,513,,
352,16,513,,
353,16,513,,
354,9,513,,
355,14,513,,
356,12,513,,
357,23,513,,
358,26,513,,
359,15,513,,
360,13,513,,
361,12,513,,
362,11,513,,
363,21,513,,
364,24,513,,
365,16,513,,
366,14,498,,
367,9,513,,
368,20,513,,
369,22,513,,
370,22,513,,
371,7,513,,
372,18,513,,
373,18,513,,
374,18,513,,
375,9,513,,
376,23,513,,
377,27,485,,
378,15,513,,
379,23,513,,
380,16,513,,
381,15,493,,
382,23,513,,
383,13,513,,
384,28,513,,
385,20,513,,
386,12,513,,
387,14,513,,
388,39,513,,
389,18,482,,
390,6,513,,
391,21,513,,
392,14,513,,
393,17,513,,
394,13,513,,
395,16,513,,
396,17,513,,
397,28,513,,
398,12,513,,
399,16,513,,
400,16,454,,
401,23,513,,
402,26,513,,
403,10,513,,
404,32,513,,
405,10,513,,
406,17,513,,
407,11,513,,
408,21,501,,
409,23,513,,
410,26,513,,
411,11,513,,
412,23,513,,
413,13,513,,
414,24,513,,
415,11,513,,
416,31,513,,
417,24,513,,
418,22,513,,
419,19,513,,
420,26,513,,
421,20,513,,
422,26,513,,
423,29,513,,
424,21,513,,
425,23,513,,
426,17,513,,
427,15,513,,
428,14,513,,
429,20,513,,
430,24,513,,
431,18,513,,
432,17,513,,
433,20,513,,
434,10,513,,
435,7,513,,
436,7,513,,
437,19,513,,
438,8,513,,
439,25,513,,
440,10,513,,
441,31,513,,
442,9,513,,
443,24,513,,
444,17,513,,
445,16,513,,
446,30,513,,
447,13,513,,
448,11,513,,
449,20,513,,
450,12,513,,
451,29,513,,
452,18,513,,
453,11,513,,
454,17,513,,
455,20,513,,
456,20,513,,
457,10,513,,
458,17,513,,
459,12,513,,
460,19,513,,
461,10,513,,
462,24,513,,
463,12,513,,
464,28,513,,
465,11,513,,
466,14,513,,
467,18,513,,
468,33,513,,
469,26,513,,
470,16,513,,
471,23,513,,
472,20,513,,
473,10,513,,
474,17,513,,
475,9,513,,
476,9,513,,
477,24,513,,
478,35,513,,
479,24,513,,
480,26,513,,
481,20,513,,
482,13,513,,
483,27,513,,
484,12,513,,
485,25,513,,
486,13,513,,
487,30,513,,
488,23,464,,
489,14,513,,
490,15,513,,
491,12,513,,
492,25,513,,
493,23,513,,
494,24,500,,
495,20,513,,
496,29,513,,
497,11,513,,
498,25,513,,
499,14,513,,
500,21,513,,
501,19,513,,
502,26,513,,
503,8,513,,
504,24,513,,
505,24,513,,
506,21,513,,
507,8,513,,
508,23,513,,
509,6,513,,
510,15,513,,
511,18,478,,
512,15,513,,
513,11,513,,
514,23,513,,
515,11,513,,
516,17,513,,
517,28,513,,
518,19,513,,
519,23,513,,
520,22,513,,
521,9,513,,
522,9,513,,
523,21,513,,
524,31,513,,
525,22,513,,
526,11,513,,
527,27,513,,
528,17,513,,
529,22,513,,
530,18,513,,
531,20,513,,
532,5,513,,
533,25,513,,
534,22,513,,
535,10,513,,
536,40,513,,
537,12,513,,
538,14,513,,
539,12,513,,
540,19,513,,
541,18,513,,
542,21,513,,
543,13,513,,
544,21,513,,
545,23,513,,
546,9,513,,
547,14,513,,
548,18,513,,
549,24,513,,
550,12,513,,
551,16,513,,
552,24,513,,
553,7,513,,
554,24,513,,
555,24,513,,
556,19,513,,
557,19,513,,
558,17,513,,
559,14,427,,
560,19,513,,
561,22,494,,
562,12,513,,
563,19,513,,
564,13,513,,
565,23,513,,
566,11,513,,
567,13,513,,
568,12,513,,
569,34,513,,
570,6,513,,
571,27,513,,
572,15,513,,
573,23,513,,
574,10,513,,
575,18,513,,
576,10,513,,
577,16,513,,
578,38,513,,
579,15,513,,
580,14,431,,
581,18,513,,
582,21,513,,
583,20,513,,
584,8,513,,
585,14,513,,
586,26,513,,
587,23,513,,
588,19,497,,
589,15,513,,
590,18,513,,
591,20,513,,
592,18,513,,
593,10,513,,
594,25,513,,
595,18,513,,
596,17,513,,
597,9,513,,
598,18,513,,
599,12,513,,
600,11,513,,
601,27,513,,
602,7,513,,
603,14,513,,
604,17,513,,
605,8,513,,
606,18,513,,
607,26,501,,
608,9,513,,
609,17,492,,
610,13,513,,
611,18,513,,
612,11,513,,
613,16,513,,
614,14,513,,
615,13,513,,
616,12,513,,
617,20,513,,
618,16,513,,
619,21,513,,
620,21,513,,
621,16,513,,
622,13,513,,
623,16,513,,
624,12,513,,
625,24,513,,
626,17,513,,
627,20,513,,
628,17,512,,
629,18,513,,
630,11,513,,
631,21,513,,
632,27,513,,
633,13,513,,
634,11,513,,
635,23,513,,
636,23,513,,
637,7,513,,
638,21,513,,
639,7,513,,
640,27,513,,
641,13,513,,
642,20,513,,
643,7,513,,
644,14,513,,
645,13,513,,
646,11,513,,
647,10,484,,
648,11,513,,
649,25,513,,
650,18,513,,
651,16,477,,
652,11,513,,
653,12,513,,
654,13,513,,
655,14,513,,
656,7,513,,
657,28,513,,
658,30,513,,
659,21,513,,
660,8,513,,
661,22,513,,
662,14,513,,
663,32,513,,
664,17,513,,
665,27,513,,
666,10,513,,
667,18,513,,
668,15,513,,
669,21,513,,
670,10,513,,
671,14,513,,
672,14,513,,
673,10,513,,
674,33,513,,
675,13,513,,
676,31,513,,
677,29,513,,
678,15,513,,
679,12,513,,
680,23,513,,
681,25,513,,
682,22,513,,
683,13,513,,
684,12,513,,
685,19,513,,
686,32,513,,
687,10,513,,
688,30,513,,
689,30,513,,
690,18,513,,
691,20,513,,
692,22,513,,
693,24,513,,
694,21,513,,
695,22,513,,
696,15,513,,
697,18,513,,
698,24,513,,
699,25,513,,
700,25,513,,
701,10,513,,
702,15,513,,
703,24,513,,
704,19,513,,
705,13,513,,
706,14,513,,
707,20,513,,
708,14,513,,
709,20,513,,
710,14,513,,
711,13,513,,
712,20,513,,
713,17,513,,
714,17,513,,
715,18,513,,
716,13,513,,
717,13,513,,
718,17,513,,
719,10,513,,
720,10,513,,
721,16,513,,
722,18,513,,
723,21,513,,
724,32,513,,
725,10,513,,
726,21,513,,
727,7,513,,
728,22,513,,
729,22,513,,
730,23,513,,
731,9,513,,
732,20,513,,
733,9,513,,
734,16,513,,
735,20,469,,
736,14,513,,
737,17,513,,
738,18,513,,
739,12,513,,
740,13,513,,
741,24,513,,
742,10,513,,
743,13,513,,
744,27,513,,
745,12,462,,
746,21,513,,
747,12,513,,
748,6,513,,
749,17,513,,
750,21,513,,
751,22,513,,
752,9,513,,
753,28,513,,
754,7,513,,
755,18,513,,
756,23,513,,
757,12,513,,
758,29,513,,
759,21,513,,
760,22,513,,
761,15,513,,
762,7,513,,
763,20,513,,
764,24,513,,
765,24,513,,
766,28,513,,
767,26,513,,
768,15,513,,
769,33,513,,
770,23,513,,
771,12,513,,
772,22,513,,
773,8,513,,
774,21,513,,
775,7,513,,
776,16,513,,
777,12,513,,
778,22,513,,
779,22,472,,
780,27,513,,
781,16,513,,
782,16,513,,
783,15,513,,
784,16,513,,
785,26,513,,
786,12,513,,
787,8,451,,
788,24,513,,
789,27,513,,
790,12,513,,
791,27,513,,
792,21,513,,
793,24,513,,
794,9,513,,
795,14,513,,
796,24,513,,
797,21,513,,
798,6,513,,
799,29,513,,
800,20,513,,
801,15,513,,
802,10,468,,
803,17,513,,
804,13,513,,
805,16,513,,
806,10,513,,
807,15,513,,
808,30,513,,
809,16,513,,
810,23,513,,
811,7,513,,
812,21,510,,
813,27,513,,
814,11,513,,
815,23,513,,
816,22,513,,
817,16,513,,
